ID,Cemetery,Year,TS,PPA,tag,Quadrant,Excavation Trench,Sq,Layer,L1 details,Feature,Offering Place,Tomb,Artifact Class,Artifact type,Proportion,"Long section (Cylindrical, biconical, barrel)","Trans section (Round, flat, rectangular)",Material gen,Material spec,Color,Color Munsell,Status (Entire/broken),Stage,"Surface traces (Chipped, Ground, Polished, Worn)",Length MAX,Length MIN,(Length A-B) - From end to centre for bicones and barrels,(Length B-C) - From end to centre for bicones and barrels,Thickness (cm),Dia MAX (cm),Length (cm),Dia MIN (cm),Width (cm),Hole Dia 1 (cm),Hole Dia 2 (cm),Perforation tech (Drilling / Pecking/ind),Drill act (Im) (Drilling actions (Impression) Single /multiple/stepped (No. steps)),Drill direct (Im) (One side / Two sides),"Drill section (Im) - Cylindrical, tapered, conical","Drill surface (Im) - Parallel striae, irregular striae, smoothed, etc.","Drill tech  (Im) - Stone drill, Ernestite drill, Solid copper, Tubular copper","Bead end 1 - Chipped, Ground, Polished","Bead end 2 - Chipped, Ground, Polished",Photo,Notes
TAG6222-AKAP-PG-SF_2053,WT1,2022,,,6222,Q3A,,,L45 ,Cleaning,,,TB6,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.602,,0.327,,,,,,,,,,,,,
TAG6222-AKAP-PG-SF_2054,WT1,2022,,,6222,Q3A,,,L45 ,Cleaning,,,TB6,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.602,,0.327,,,,,,,,,,,,,
TAG6222-AKAP-PG-SF_2055,WT1,2022,,,6222,Q3A,,,L45 ,Cleaning,,,TB6,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.602,,0.327,,,,,,,,,,,,,
TAG6222-AKAP-PG-SF_2056,WT1,2022,,,6222,Q3A,,,L45 ,Cleaning,,,TB6,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.602,,0.327,,,,,,,,,,,,,
TAG6222-AKAP-PG-SF_2057,WT1,2022,,,6222,Q3A,,,L45 ,Cleaning,,,TB6,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.602,,0.327,,,,,,,,,,,,,
TAG6222-AKAP-PG-SF_2058,WT1,2022,,,6222,Q3A,,,L45 ,Cleaning,,,TB6,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.602,,0.327,,,,,,,,,,,,,
TAG6222-AKAP-PG-SF_2059,WT1,2022,,,6222,Q3A,,,L45 ,Cleaning,,,TB6,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.602,,0.327,,,,,,,,,,,,,
TAG6222-AKAP-PG-SF_2060,WT1,2022,,,6222,Q3A,,,L45 ,Cleaning,,,TB6,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.602,,0.327,,,,,,,,,,,,,
TAG6222-AKAP-PG-SF_2061,WT1,2022,,,6222,Q3A,,,L45 ,Cleaning,,,TB6,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.602,,0.327,,,,,,,,,,,,,
TAG6222-AKAP-PG-SF_2062,WT1,2022,,,6222,Q3A,,,L45 ,Cleaning,,,TB6,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.602,,0.327,,,,,,,,,,,,,
TAG6222-AKAP-PG-SF_2063,WT1,2022,,,6222,Q3A,,,L45 ,Cleaning,,,TB6,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.602,,0.327,,,,,,,,,,,,,
TAG6222-AKAP-PG-SF_2064,WT1,2022,,,6222,Q3A,,,L45 ,Cleaning,,,TB6,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.602,,0.327,,,,,,,,,,,,,
TAG6222-AKAP-PG-SF_2065,WT1,2022,,,6222,Q3A,,,L45 ,Cleaning,,,TB6,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.602,,0.327,,,,,,,,,,,,,
TAG6222-AKAP-PG-SF_2066,WT1,2022,,,6222,Q3A,,,L45 ,Cleaning,,,TB6,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.602,,0.327,,,,,,,,,,,,,
TAG6222-AKAP-PG-SF_2067,WT1,2022,,,6222,Q3A,,,L45 ,Cleaning,,,TB6,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.602,,0.327,,,,,,,,,,,,,
TAG6222-AKAP-PG-SF_2068,WT1,2022,,,6222,Q3A,,,L45 ,Cleaning,,,TB6,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.602,,0.327,,,,,,,,,,,,,
TAG6222-AKAP-PG-SF_2069,WT1,2022,,,6222,Q3A,,,L45 ,Cleaning,,,TB6,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.602,,0.327,,,,,,,,,,,,,
TAG6222-AKAP-PG-SF_2070,WT1,2022,,,6222,Q3A,,,L45 ,Cleaning,,,TB6,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.602,,0.327,,,,,,,,,,,,,
TAG6222-AKAP-PG-SF_2071,WT1,2022,,,6222,Q3A,,,L45 ,Cleaning,,,TB6,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.602,,0.327,,,,,,,,,,,,,
TAG6222-AKAP-PG-SF_2072,WT1,2022,,,6222,Q3A,,,L45 ,Cleaning,,,TB6,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.602,,0.327,,,,,,,,,,,,,
TAG6222-AKAP-PG-SF_2073,WT1,2022,,,6222,Q3A,,,L45 ,Cleaning,,,TB6,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.602,,0.327,,,,,,,,,,,,,
TAG6222-AKAP-PG-SF_2074,WT1,2022,,,6222,Q3A,,,L45 ,Cleaning,,,TB6,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.602,,0.327,,,,,,,,,,,,,
TAG6222-AKAP-PG-SF_2075,WT1,2022,,,6222,Q3A,,,L45 ,Cleaning,,,TB6,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.602,,0.327,,,,,,,,,,,,,
TAG6222-AKAP-PG-SF_2076,WT1,2022,,,6222,Q3A,,,L45 ,Cleaning,,,TB6,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.602,,0.327,,,,,,,,,,,,,
TAG6222-AKAP-PG-SF_2077,WT1,2022,,,6222,Q3A,,,L45 ,Cleaning,,,TB6,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.602,,0.327,,,,,,,,,,,,,
TAG6222-AKAP-PG-SF_2078,WT1,2022,,,6222,Q3A,,,L45 ,Cleaning,,,TB6,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.602,,0.327,,,,,,,,,,,,,
TAG6222-AKAP-PG-SF_2079,WT1,2022,,,6222,Q3A,,,L45 ,Cleaning,,,TB6,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.602,,0.327,,,,,,,,,,,,,
TAG6222-AKAP-PG-SF_2080,WT1,2022,,,6222,Q3A,,,L45 ,Cleaning,,,TB6,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.602,,0.327,,,,,,,,,,,,,
TAG6222-AKAP-PG-SF_2081,WT1,2022,,,6222,Q3A,,,L45 ,Cleaning,,,TB6,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.602,,0.327,,,,,,,,,,,,,
TAG6222-AKAP-PG-SF_2082,WT1,2022,,,6222,Q3A,,,L45 ,Cleaning,,,TB6,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.602,,0.327,,,,,,,,,,,,,
TAG6222-AKAP-PG-SF_2083,WT1,2022,,,6222,Q3A,,,L45 ,Cleaning,,,TB6,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.602,,0.327,,,,,,,,,,,,,
TAG6222-AKAP-PG-SF_2084,WT1,2022,,,6222,Q3A,,,L45 ,Cleaning,,,TB6,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.602,,0.327,,,,,,,,,,,,,
TAG6222-AKAP-PG-SF_2085,WT1,2022,,,6222,Q3A,,,L45 ,Cleaning,,,TB6,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.602,,0.327,,,,,,,,,,,,,
TAG6222-AKAP-PG-SF_2086,WT1,2022,,,6222,Q3A,,,L45 ,Cleaning,,,TB6,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.602,,0.327,,,,,,,,,,,,,
TAG6222-AKAP-PG-SF_2087,WT1,2022,,,6222,Q3A,,,L45 ,Cleaning,,,TB6,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.602,,0.327,,,,,,,,,,,,,
TAG6222-AKAP-PG-SF_2088,WT1,2022,,,6222,Q3A,,,L45 ,Cleaning,,,TB6,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.602,,0.327,,,,,,,,,,,,,
TAG6222-AKAP-PG-SF_2089,WT1,2022,,,6222,Q3A,,,L45 ,Cleaning,,,TB6,,Bead,,,,,Faience,Light blue,,,,,,,,,,0.451,,0.284,,,,,,,,,,,,,
TAG6222-AKAP-PG-SF_2090,WT1,2022,,,6222,Q3A,,,L45 ,Cleaning,,,TB6,,Bead,,,,,Faience,Light blue,,,,,,,,,,0.451,,0.284,,,,,,,,,,,,,
TAG6222-AKAP-PG-SF_2091,WT1,2022,,,6222,Q3A,,,L45 ,Cleaning,,,TB6,,Bead,,,,,Faience,Light blue,,,,,,,,,,0.451,,0.284,,,,,,,,,,,,,
TAG6222-AKAP-PG-SF_2092,WT1,2022,,,6222,Q3A,,,L45 ,Cleaning,,,TB6,,Bead,,,,,Faience,Light blue,,,,,,,,,,0.451,,0.284,,,,,,,,,,,,,
TAG6222-AKAP-PG-SF_2093,WT1,2022,,,6222,Q3A,,,L45 ,Cleaning,,,TB6,,Bead,,,,,Faience,Light blue,,,,,,,,,,0.451,,0.284,,,,,,,,,,,,,
TAG6222-AKAP-PG-SF_2094,WT1,2022,,,6222,Q3A,,,L45 ,Cleaning,,,TB6,,Bead,,,,,Faience,Light blue,,,,,,,,,,0.451,,0.284,,,,,,,,,,,,,
TAG6222-AKAP-PG-SF_2095,WT1,2022,,,6222,Q3A,,,L45 ,Cleaning,,,TB6,,Bead,,,,,Faience,Light blue,,,,,,,,,,0.451,,0.284,,,,,,,,,,,,,
TAG6222-AKAP-PG-SF_2096,WT1,2022,,,6222,Q3A,,,L45 ,Cleaning,,,TB6,,Bead,,,,,Faience,Light blue,,,,,,,,,,0.451,,0.284,,,,,,,,,,,,,
TAG6222-AKAP-PG-SF_2097,WT1,2022,,,6222,Q3A,,,L45 ,Cleaning,,,TB6,,Bead,,,,,Faience,Light blue,,,,,,,,,,0.451,,0.284,,,,,,,,,,,,,
TAG6222-AKAP-PG-SF_2098,WT1,2022,,,6222,Q3A,,,L45 ,Cleaning,,,TB6,,Bead,,,,,Faience,Light blue,,,,,,,,,,0.451,,0.284,,,,,,,,,,,,,
TAG6222-AKAP-PG-SF_2099,WT1,2022,,,6222,Q3A,,,L45 ,Cleaning,,,TB6,,Bead,,,,,Faience,Light blue,,,,,,,,,,0.451,,0.284,,,,,,,,,,,,,
TAG6222-AKAP-PG-SF_2100,WT1,2022,,,6222,Q3A,,,L45 ,Cleaning,,,TB6,,Bead,,,,,Faience,Light blue,,,,,,,,,,0.451,,0.284,,,,,,,,,,,,,
TAG6222-AKAP-PG-SF_2101,WT1,2022,,,6222,Q3A,,,L45 ,Cleaning,,,TB6,,Bead,,,,,Faience,Light blue,,,,,,,,,,0.451,,0.284,,,,,,,,,,,,,
TAG6222-AKAP-PG-SF_2102,WT1,2022,,,6222,Q3A,,,L45 ,Cleaning,,,TB6,,Bead,,,,,Faience,Light blue,,,,,,,,,,0.451,,0.284,,,,,,,,,,,,,
TAG6222-AKAP-PG-SF_2103,WT1,2022,,,6222,Q3A,,,L45 ,Cleaning,,,TB6,,Bead,,,,,Faience,Light blue,,,,,,,,,,0.451,,0.284,,,,,,,,,,,,,
TAG6222-AKAP-PG-SF_2104,WT1,2022,,,6222,Q3A,,,L45 ,Cleaning,,,TB6,,Bead,,,,,Faience,Light blue,,,,,,,,,,0.451,,0.284,,,,,,,,,,,,,
TAG6222-AKAP-PG-SF_2105,WT1,2022,,,6222,Q3A,,,L45 ,Cleaning,,,TB6,,Bead,,,,,Faience,Light blue,,,,,,,,,,0.451,,0.284,,,,,,,,,,,,,
TAG6222-AKAP-PG-SF_2106,WT1,2022,,,6222,Q3A,,,L45 ,Cleaning,,,TB6,,Bead,,Tubular,,,Faience,Light blue,,,,,,,,,,,,,,,,,,,,,,,,"5 EDR, Dyno",
TAG6222-AKAP-PG-SF_2107,WT1,2022,,,6222,Q3A,,,L45 ,Cleaning,,,TB6,,Bead,,,,,Faience,Black,,,,,,,,,,0.378,,0.344,,,,,,,,,,,,,
TAG6222-AKAP-PG-SF_2108,WT1,2022,,,6222,Q3A,,,L45 ,Cleaning,,,TB6,,Bead,,,,,Faience,Black,,,,,,,,,,0.378,,0.344,,,,,,,,,,,,,
TAG6222-AKAP-PG-SF_2109,WT1,2022,,,6222,Q3A,,,L45 ,Cleaning,,,TB6,,Bead,,,,,Faience,Black,,,,,,,,,,0.378,,0.344,,,,,,,,,,,,,
TAG6222-AKAP-PG-SF_2110,WT1,2022,,,6222,Q3A,,,L45 ,Cleaning,,,TB6,,Bead,,,,,Faience,Black,,,,,,,,,,0.378,,0.344,,,,,,,,,,,,,
TAG6222-AKAP-PG-SF_2111,WT1,2022,,,6222,Q3A,,,L45 ,Cleaning,,,TB6,,Bead,,,,,Faience,Black,,,,,,,,,,0.378,,0.344,,,,,,,,,,,,,
TAG6222-AKAP-PG-SF_2112,WT1,2022,,,6222,Q3A,,,L45 ,Cleaning,,,TB6,,Bead,,,,,Faience,Black,,,,,,,,,,0.378,,0.344,,,,,,,,,,,,,
TAG6222-AKAP-PG-SF_2113,WT1,2022,,,6222,Q3A,,,L45 ,Cleaning,,,TB6,,Bead,,Cylindrical,,,Shell,Greyish,,,,,,,,,,0.481,,,,,,,,,,,,,,,
TAG6229-AKAP-PG-SF_2114,WT1,2022,,,6229,Q3B,,,L62,,,,TB8,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Yellowish,,,,,,,,,,0.563,,0.343,,,,,,,,,,,,"1EDR, Dyno",
TAG6229-AKAP-PG-SF_2115,WT1,2022,,,6229,Q3B,,,L62,,,,TB8,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.563,,0.343,,,,,,,,,,,,,
TAG6229-AKAP-PG-SF_2116,WT1,2022,,,6229,Q3B,,,L62,,,,TB8,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.563,,0.343,,,,,,,,,,,,,
TAG6229-AKAP-PG-SF_2117,WT1,2022,,,6229,Q3B,,,L62,,,,TB8,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.563,,0.343,,,,,,,,,,,,,
TAG6229-AKAP-PG-SF_2118,WT1,2022,,,6229,Q3B,,,L62,,,,TB8,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.563,,0.343,,,,,,,,,,,,,
TAG6229-AKAP-PG-SF_2119,WT1,2022,,,6229,Q3B,,,L62,,,,TB8,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.563,,0.343,,,,,,,,,,,,,
TAG6229-AKAP-PG-SF_2120,WT1,2022,,,6229,Q3B,,,L62,,,,TB8,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.563,,0.343,,,,,,,,,,,,,
TAG6229-AKAP-PG-SF_2121,WT1,2022,,,6229,Q3B,,,L62,,,,TB8,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.563,,0.343,,,,,,,,,,,,,
TAG6229-AKAP-PG-SF_2122,WT1,2022,,,6229,Q3B,,,L62,,,,TB8,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.563,,0.343,,,,,,,,,,,,,
TAG6229-AKAP-PG-SF_2123,WT1,2022,,,6229,Q3B,,,L62,,,,TB8,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.563,,0.343,,,,,,,,,,,,,
TAG6229-AKAP-PG-SF_2124,WT1,2022,,,6229,Q3B,,,L62,,,,TB8,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.563,,0.343,,,,,,,,,,,,,
TAG6229-AKAP-PG-SF_2125,WT1,2022,,,6229,Q3B,,,L62,,,,TB8,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.563,,0.343,,,,,,,,,,,,,
TAG6229-AKAP-PG-SF_2126,WT1,2022,,,6229,Q3B,,,L62,,,,TB8,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.563,,0.343,,,,,,,,,,,,,
TAG6229-AKAP-PG-SF_2127,WT1,2022,,,6229,Q3B,,,L62,,,,TB8,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.563,,0.343,,,,,,,,,,,,,
TAG6229-AKAP-PG-SF_2128,WT1,2022,,,6229,Q3B,,,L62,,,,TB8,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.563,,0.343,,,,,,,,,,,,,
TAG6229-AKAP-PG-SF_2129,WT1,2022,,,6229,Q3B,,,L62,,,,TB8,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.563,,0.343,,,,,,,,,,,,,
TAG6229-AKAP-PG-SF_2130,WT1,2022,,,6229,Q3B,,,L62,,,,TB8,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.563,,0.343,,,,,,,,,,,,,
TAG6229-AKAP-PG-SF_2131,WT1,2022,,,6229,Q3B,,,L62,,,,TB8,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.563,,0.343,,,,,,,,,,,,,
TAG6229-AKAP-PG-SF_2132,WT1,2022,,,6229,Q3B,,,L62,,,,TB8,,Bead,,,,,Faience,Light blue,,,,,,,,,,0.406,,0.277,,,,,,,,,,,,,
TAG6229-AKAP-PG-SF_2133,WT1,2022,,,6229,Q3B,,,L62,,,,TB8,,Bead,,,,,Faience,Light blue,,,,,,,,,,0.406,,0.277,,,,,,,,,,,,,
TAG6229-AKAP-PG-SF_2134,WT1,2022,,,6229,Q3B,,,L62,,,,TB8,,Bead,,,,,Faience,Light blue,,,,,,,,,,0.406,,0.277,,,,,,,,,,,,,
TAG6229-AKAP-PG-SF_2135,WT1,2022,,,6229,Q3B,,,L62,,,,TB8,,Bead,,,,,Faience,Light blue,,,,,,,,,,0.406,,0.277,,,,,,,,,,,,,
TAG6229-AKAP-PG-SF_2136,WT1,2022,,,6229,Q3B,,,L62,,,,TB8,,Bead,,,,,Faience,Light blue,,,,,,,,,,0.406,,0.277,,,,,,,,,,,,,
TAG6229-AKAP-PG-SF_2137,WT1,2022,,,6229,Q3B,,,L62,,,,TB8,,Bead,,,,,Faience,Black,,,,,,,,,,0.371,,0.365,,,,,,,,,,,,,
TAG6229-AKAP-PG-SF_2138,WT1,2022,,,6229,Q3B,,,L62,,,,TB8,,Bead,,,,,Faience,Black,,,,,,,,,,0.371,,0.365,,,,,,,,,,,,,
TAG6232-AKAP-PG-SF_2139,WT1,2022,,,6232,Q3B,,,L18,,,,TB8,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.595,,0.316,,,,,,,,,,,,,
TAG6232-AKAP-PG-SF_2140,WT1,2022,,,6232,Q3B,,,L18,,,,TB8,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.595,,0.316,,,,,,,,,,,,,
TAG6232-AKAP-PG-SF_2141,WT1,2022,,,6232,Q3B,,,L18,,,,TB8,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.595,,0.316,,,,,,,,,,,,,
TAG6232-AKAP-PG-SF_2142,WT1,2022,,,6232,Q3B,,,L18,,,,TB8,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.595,,0.316,,,,,,,,,,,,,
TAG6232-AKAP-PG-SF_2143,WT1,2022,,,6232,Q3B,,,L18,,,,TB8,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.595,,0.316,,,,,,,,,,,,,
TAG6232-AKAP-PG-SF_2144,WT1,2022,,,6232,Q3B,,,L18,,,,TB8,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.595,,0.316,,,,,,,,,,,,,
TAG6232-AKAP-PG-SF_2145,WT1,2022,,,6232,Q3B,,,L18,,,,TB8,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.595,,0.316,,,,,,,,,,,,,
TAG6232-AKAP-PG-SF_2146,WT1,2022,,,6232,Q3B,,,L18,,,,TB8,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.595,,0.316,,,,,,,,,,,,,
TAG6232-AKAP-PG-SF_2147,WT1,2022,,,6232,Q3B,,,L18,,,,TB8,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.595,,0.316,,,,,,,,,,,,,
TAG6232-AKAP-PG-SF_2148,WT1,2022,,,6232,Q3B,,,L18,,,,TB8,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.595,,0.316,,,,,,,,,,,,,
TAG6232-AKAP-PG-SF_2149,WT1,2022,,,6232,Q3B,,,L18,,,,TB8,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.595,,0.316,,,,,,,,,,,,,
TAG6232-AKAP-PG-SF_2150,WT1,2022,,,6232,Q3B,,,L18,,,,TB8,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.595,,0.316,,,,,,,,,,,,,
TAG6232-AKAP-PG-SF_2151,WT1,2022,,,6232,Q3B,,,L18,,,,TB8,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.595,,0.316,,,,,,,,,,,,,
TAG6232-AKAP-PG-SF_2152,WT1,2022,,,6232,Q3B,,,L18,,,,TB8,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.595,,0.316,,,,,,,,,,,,,
TAG6232-AKAP-PG-SF_2153,WT1,2022,,,6232,Q3B,,,L18,,,,TB8,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.595,,0.316,,,,,,,,,,,,,
TAG6232-AKAP-PG-SF_2154,WT1,2022,,,6232,Q3B,,,L18,,,,TB8,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.595,,0.316,,,,,,,,,,,,,
TAG6232-AKAP-PG-SF_2155,WT1,2022,,,6232,Q3B,,,L18,,,,TB8,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.595,,0.316,,,,,,,,,,,,,
TAG6232-AKAP-PG-SF_2156,WT1,2022,,,6232,Q3B,,,L18,,,,TB8,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.595,,0.316,,,,,,,,,,,,,
TAG6232-AKAP-PG-SF_2157,WT1,2022,,,6232,Q3B,,,L18,,,,TB8,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.595,,0.316,,,,,,,,,,,,,
TAG6232-AKAP-PG-SF_2158,WT1,2022,,,6232,Q3B,,,L18,,,,TB8,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.595,,0.316,,,,,,,,,,,,,
TAG6232-AKAP-PG-SF_2159,WT1,2022,,,6232,Q3B,,,L18,,,,TB8,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.595,,0.316,,,,,,,,,,,,,
TAG6232-AKAP-PG-SF_2160,WT1,2022,,,6232,Q3B,,,L18,,,,TB8,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.595,,0.316,,,,,,,,,,,,,
TAG6232-AKAP-PG-SF_2161,WT1,2022,,,6232,Q3B,,,L18,,,,TB8,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.595,,0.316,,,,,,,,,,,,,
TAG6232-AKAP-PG-SF_2162,WT1,2022,,,6232,Q3B,,,L18,,,,TB8,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.595,,0.316,,,,,,,,,,,,,
TAG6232-AKAP-PG-SF_2163,WT1,2022,,,6232,Q3B,,,L18,,,,TB8,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.595,,0.316,,,,,,,,,,,,,
TAG6232-AKAP-PG-SF_2164,WT1,2022,,,6232,Q3B,,,L18,,,,TB8,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.595,,0.316,,,,,,,,,,,,,
TAG6232-AKAP-PG-SF_2165,WT1,2022,,,6232,Q3B,,,L18,,,,TB8,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.595,,0.316,,,,,,,,,,,,,
TAG6232-AKAP-PG-SF_2166,WT1,2022,,,6232,Q3B,,,L18,,,,TB8,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.595,,0.316,,,,,,,,,,,,,
TAG6232-AKAP-PG-SF_2167,WT1,2022,,,6232,Q3B,,,L18,,,,TB8,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.595,,0.316,,,,,,,,,,,,,
TAG6232-AKAP-PG-SF_2168,WT1,2022,,,6232,Q3B,,,L18,,,,TB8,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.595,,0.316,,,,,,,,,,,,,
TAG6232-AKAP-PG-SF_2169,WT1,2022,,,6232,Q3B,,,L18,,,,TB8,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.595,,0.316,,,,,,,,,,,,,
TAG6232-AKAP-PG-SF_2170,WT1,2022,,,6232,Q3B,,,L18,,,,TB8,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.595,,0.316,,,,,,,,,,,,,
TAG6232-AKAP-PG-SF_2171,WT1,2022,,,6232,Q3B,,,L18,,,,TB8,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.595,,0.316,,,,,,,,,,,,,
